id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1409914252941537287,1409815486385340416,2021-06-29 18:38:47 Hora de verano romance,2021-06-29,18:38:47,+0200,918130038,crazyjane125,Jane Hinchliffe 💚🌿🖖,,"@M0tacilla_alba @Uklegalweed1 @WheelLife6 @weedallgetalong I drive every day on mine and I’m fine, better driver now then on opiates and pregabalin etc not hard really though 🙄",en,[],[],[],1,1,1,[],[],https://twitter.com/crazyjane125/status/1409914252941537287,False,,0,,,,,,,,"[{'screen_name': 'M0tacilla_alba', 'name': 'Marijuana Grande', 'id': '1326856711496458241'}, {'screen_name': 'Uklegalweed1', 'name': 'Uk legal weed', 'id': '1386379448178577411'}, {'screen_name': 'WheelLife6', 'name': 'Wheel Life', 'id': '1217909313399918592'}, {'screen_name': 'weedallgetalong', 'name': 'WeWantWeed💚🇬🇧', 'id': '1343606436149022723'}]",,,,
1409914128693669888,1409914128693669888,2021-06-29 18:38:17 Hora de verano romance,2021-06-29,18:38:17,+0200,1143476066884960256,mynameslimanus2,Davča 2,,29.6. 0:25 pregabalin 150mg 8:50 pregbalin 450mg       clonazepam 1mg 9:20 kybl 1x       cigo 1x 9:30 kybl 1x 10:00 kybl 1x 10:35 sklo 1x 10:40 sklo 1x  14:10 kybl 1x       cigo 1x 14:15 kybl 1x 14:20 kybl 1x 14:30 kybl 1x 14:45 bong 1x 18:35 pregabalin 300mg       clonazepam 1mg,fi,[],[],[],0,0,0,[],[],https://twitter.com/mynameslimanus2/status/1409914128693669888,False,,0,,,,,,,,[],,,,
1409907129549344768,1409907129549344768,2021-06-29 18:10:29 Hora de verano romance,2021-06-29,18:10:29,+0200,877494148558757889,icm_ss,m,,Istg if pregabalin pa rin ibibigay sa akin sa sabado i will ask for a refund miss maam,tl,[],[],[],0,0,0,[],[],https://twitter.com/icm_ss/status/1409907129549344768,False,,0,,,,,,,,[],,,,
1409899704717033486,1409783956023697410,2021-06-29 17:40:58 Hora de verano romance,2021-06-29,17:40:58,+0200,884350551055618048,owlcottage1,Owl Cottage Craster 💙,,"@TommyShakes I personally preferred pregabalin, but had quite good success with patients &amp; amitryptiline- but the more you take- drier your mouth, can make u drowsy- so I tended to prescribe as nighttime dose…..",en,[],[],[],0,0,0,[],[],https://twitter.com/OwlCottage1/status/1409899704717033486,False,,0,,,,,,,,"[{'screen_name': 'TommyShakes', 'name': 'Tom Shakespeare', 'id': '217374615'}]",,,,
1409890499201208323,1409890499201208323,2021-06-29 17:04:24 Hora de verano romance,2021-06-29,17:04:24,+0200,33534991,msrobinhosking,robin 💙🌕,,Urgent abdominal ultrasound has been booked. There’s something happening there and I’m much heavier than I thought so that’s nice. It’s the damn pregabalin.,en,[],[],[],1,0,0,[],[],https://twitter.com/MsRobinHosking/status/1409890499201208323,False,,0,,,,,,,,[],,,,
1409864163577536523,1409811032520941569,2021-06-29 15:19:45 Hora de verano romance,2021-06-29,15:19:45,+0200,1121368399135870976,pregabalin150,pregabalin,,@IranIntl فعلا که ۷۰٪  مردم ایرانو تنگ دست کردین برای مرکز تنگدستان دنیا شدن کافیه یا باید بیشتر بشیم؟,fa,[],[],[],0,0,3,[],[],https://twitter.com/pregabalin150/status/1409864163577536523,False,,0,,,,,,,,"[{'screen_name': 'IranIntl', 'name': 'ايران اينترنشنال', 'id': '728252911675944961'}]",,,,
1409862948147941380,1409819202937049089,2021-06-29 15:14:55 Hora de verano romance,2021-06-29,15:14:55,+0200,1293526140410384385,beatingworld,World beating Maverick Genius 💙,,"@Jazz58884189 Glad injections seem to have helped. I have been put on pregabalin and tramadol but had to come off the tramadol as it was making me dizzy and was having physio, which got cut short because of COVID, so hopefully can get back soon. Luckily can work from home. 💕",en,[],[],[],0,0,1,[],[],https://twitter.com/BeatingWorld/status/1409862948147941380,False,,0,,,,,,,,"[{'screen_name': 'Jazz58884189', 'name': 'JazzySal World Citizen🤣🐬', 'id': '1243554965286780928'}]",,,,
1409858599443128320,1409783956023697410,2021-06-29 14:57:38 Hora de verano romance,2021-06-29,14:57:38,+0200,217374615,tommyshakes,Tom Shakespeare,,"@JulieJeanz Lyrica is proprietary name for pregabalin, it's mainly great but I need a holiday from it!",en,[],[],[],1,0,1,[],[],https://twitter.com/TommyShakes/status/1409858599443128320,False,,0,,,,,,,,"[{'screen_name': 'JulieJeanz', 'name': 'Julie Jean', 'id': '50171510'}]",,,,
1409843378951528450,1409783956023697410,2021-06-29 13:57:09 Hora de verano romance,2021-06-29,13:57:09,+0200,217374615,tommyshakes,Tom Shakespeare,,"@haroldthimbleby ALL drugs have side effects. Pregabalin &amp; Gabapentin slows neurones firing. This inevitably damages memory. Many drugs give dry mouth etc. Opiods always depress breathing  For some, this is risky etc. Always trade-offs!",en,[],[],[],1,0,0,[],[],https://twitter.com/TommyShakes/status/1409843378951528450,False,,0,,,,,,,,"[{'screen_name': 'haroldthimbleby', 'name': 'Harold Thimbleby', 'id': '108643347'}]",,,,
1409837255057809412,1409837255057809412,2021-06-29 13:32:49 Hora de verano romance,2021-06-29,13:32:49,+0200,169629484,pregabalin,Lyrica,,Android版「Google」アプリで起こった不具合について報じた記事に注目集まる【アクセスランキング】 - INTERNET Watch  https://t.co/vzLWXP3fMq,ja,[],['https://internet.watch.impress.co.jp/docs/news/ranking/1334372.html'],[],0,0,0,[],[],https://twitter.com/Pregabalin/status/1409837255057809412,False,,0,,,,,,,,[],,,,
1409832680536121347,1409831747034955780,2021-06-29 13:14:39 Hora de verano romance,2021-06-29,13:14:39,+0200,33534991,msrobinhosking,robin 💙🌕,,@CampaignNhs Pregabalin for neuropathic pain post covid,en,[],[],[],2,0,1,[],[],https://twitter.com/MsRobinHosking/status/1409832680536121347,False,,0,,,,,,,,"[{'screen_name': 'CampaignNhs', 'name': 'NHS Patient Campaign 🇬🇧\U0001f993', 'id': '1372489616213872643'}]",,,,
1409825547601936388,1409608331677798404,2021-06-29 12:46:18 Hora de verano romance,2021-06-29,12:46:18,+0200,1233546582370521093,nikki_cas,Nikki,,"@wendyburn Just reading the responses, other drugs mentioned: pregabalin, ssri’s. Horrifyingly I’m on long term benzo because of harms caused by those (4 years on, I’ve not recovered in any way). I suppose my point is a personal one: I never needed any of the cascade of drugs that harmed me",en,[],[],[],0,0,1,[],[],https://twitter.com/nikki_cas/status/1409825547601936388,False,,0,,,,,,,,"[{'screen_name': 'wendyburn', 'name': 'Wendy Burn CBE (She/her) 🌈🌹', 'id': '44854299'}]",,,,
1409825539087507461,1409818882181939204,2021-06-29 12:46:16 Hora de verano romance,2021-06-29,12:46:16,+0200,3535333696,dwitnurgle666,pappa nurgle news,,@MrRCain2 Sure we're one of the worst regions for pregabalin abuse in the UK,en,[],[],[],0,0,0,[],[],https://twitter.com/Dwitnurgle666/status/1409825539087507461,False,,0,,,,,,,,"[{'screen_name': 'MrRCain2', 'name': 'Mr R Cain', 'id': '817735965699612673'}]",,,,
1409811238763347974,1409437047010598914,2021-06-29 11:49:27 Hora de verano romance,2021-06-29,11:49:27,+0200,975475417015640070,corinnecoles5,Corinne Coles,,@reneg4dem4ster I’m not a medic but if your mate is taking certain medication atm or about to start taking it (possibly even something called pregabalin / lyrica?) he should reconsider as it may be causing him extreme mental anxiety / hopelessness. Sounds crazy I know. Just putting it out there,en,[],[],[],1,0,3,[],[],https://twitter.com/CorinneColes5/status/1409811238763347974,False,,0,,,,,,,,"[{'screen_name': 'reneg4dem4ster', 'name': 'deja vu', 'id': '1401619321772728321'}]",,,,
1409810935162748936,1409810935162748936,2021-06-29 11:48:14 Hora de verano romance,2021-06-29,11:48:14,+0200,1341532657902096395,kaloumo,Karen Moore,,The wheels are in motion with my medication changes! Adding #Trazodone to #Venlafaxine and #Propranolol and reducing #Pregabalin  The GP was really thorough and apologised for #CMHT trying to pass the buck!,en,[],[],[],0,0,1,"['trazodone', 'venlafaxine', 'propranolol', 'pregabalin', 'cmht']",[],https://twitter.com/kaloumo/status/1409810935162748936,False,,0,,,,,,,,[],,,,
1409808120910594049,1409783956023697410,2021-06-29 11:37:03 Hora de verano romance,2021-06-29,11:37:03,+0200,784413073117421569,drstephenward,Dr Stephen Ward,,"@TommyShakes There is probably little in it in terms of effectiveness (pregabalin is better marketed). Antihistamine type side effects common - drowsiness, dry eyes and mouth etc. Nortriptyline is a tweaked version with fewer side effects - taken at the same dose.",en,[],[],[],0,0,0,[],[],https://twitter.com/DrStephenWard/status/1409808120910594049,False,,0,,,,,,,,"[{'screen_name': 'TommyShakes', 'name': 'Tom Shakespeare', 'id': '217374615'}]",,,,
1409807977255780353,1409783956023697410,2021-06-29 11:36:29 Hora de verano romance,2021-06-29,11:36:29,+0200,1097109812456890369,r89413131,Louise Riley 💙,,"@TommyShakes I have chronic pain and have tried everything from pregabalin to amitriptyline, and I have to say amitriptyline is by far the best. I’m on 30mg/ night and It helps me sleep. After a few weeks no grogginess in the mornings and my pain is greatly reduced. Hope this helps xx",en,[],[],[],1,0,0,[],[],https://twitter.com/r89413131/status/1409807977255780353,False,,0,,,,,,,,"[{'screen_name': 'TommyShakes', 'name': 'Tom Shakespeare', 'id': '217374615'}]",,,,
